Agency,Warmth_mean,Dominance_mean
IRS,-40.494623655913976,63.13978494623656
Treas,-27.298319327731093,42.602240896358545
DOJ,-26.732193732193736,55.08119658119658
BPR,-28.046143250688708,49.34159779614325
TSA,-30.52777777777778,46.99444444444444
DOD,-26.90347222222222,67.35
FBI,-31.822580645161292,59.58333333333333
CBP,-18.577185792349727,44.37568306010929
SocSecurity,-12.76490514905149,38.96341463414634
CISA,-19.56693989071038,55.48360655737705
Ded,-5.370833333333334,30.65
LaborDept,-6.432249322493225,32.82113821138211
Census,-0.07344632768361592,36.61440677966102
FDA,-8.921487603305785,52.09504132231405
CDC,-1.774011299435028,36.34180790960452
FAA,-1.112021857923497,50.2103825136612
Lib,15.672413793103448,32.52298850574712
Amtrak,16.255464480874316,32.28415300546448
FairHousing,11.296831955922864,24.15840220385675
FEMA,18.680555555555554,39.079166666666666
NASA,10.48360655737705,46.78415300546448
NSF,13.486449864498645,43.91056910569106
EPA,13.851775956284154,33.85245901639344
USPS,25.317204301075268,38.586021505376344
NEA,32.82282913165266,29.352777777777778
Zoo,38.46597222222223,34.419444444444444
Mus,32.735537190082646,44.43250688705234
